,name,ID,num,coef_maj,intercept_maj,coef_min,intercept_min,dr1_Maj,dr1_Min,il1_Maj,il1_Min,diameter
0,jb059_01_p_20171104_20180706.csv,jb059,19,-0.653545614,61.53354211,-0.517812281,16.19788947,-0.010620965,-0.031967886,30.76677105,8.098944737,1.652
1,jb059_02_p_20171104_20180706.csv,jb059,24,-1.03148,70.82243667,-0.516233478,18.07197667,-0.014564311,-0.028565413,35.41121833,9.035988333,2.162
2,jb060_01_p_20170925_20180706.csv,jb060,21,-1.155220779,71.83449351,-0.636494805,20.09113853,-0.0160817,-0.031680375,35.91724675,10.04556926,2.157
3,jb060_02_p_20170925_20180706.csv,jb060,21,-1.111793506,71.21741126,-0.567261039,19.05551515,-0.01561126,-0.029768864,35.60870563,9.527757576,2.322
4,jb060_03_p_20170926_20180706.csv,jb060,24,-1.21667,76.47683,-0.549276957,20.78939333,-0.015909001,-0.026421019,38.238415,10.39469667,2.532
5,jb060_04_p_20170926_20180706.csv,jb060,20,-0.800267669,64.15804286,-0.560975188,18.80221429,-0.01247338,-0.029835592,32.07902143,9.401107143,2.566
6,tw006_01_p_20171105_20180706.csv,tw006,27,-0.578869353,40.77285714,-0.339349206,20.16065079,-0.014197419,-0.016832255,20.38642857,10.0803254,1.788
7,tw006_02_p_20171105_20180706.csv,tw006,26,-0.609769231,45.371,-0.276175043,21.28426496,-0.013439625,-0.01297555,22.6855,10.64213248,1.837
8,xjb01_01_p_dr1_lm_20180116.csv,xjb01,23,-0.756063241,65.4066087,-0.304409091,20.63506522,-0.011559432,-0.01475203,32.70330435,10.31753261,1.964
9,xjb01_02_p_dr1_lm_20180116.csv,xjb01,18,-0.726978328,61.95131579,-0.417971104,19.2108655,-0.011734671,-0.021757016,30.97565789,9.605432749,1.829
10,xjb01_03_p_dr1_lm_20180116.csv,xjb01,25,-0.717356923,74.62216308,-0.339501538,24.87649846,-0.009613189,-0.013647481,37.31108154,12.43824923,2.19
11,xjb02_01_p_dr1_lm_20180116.csv,xjb02,23,-1.14306917,73.19554348,-0.269341897,19.11058696,-0.01561665,-0.014093858,36.59777174,9.555293478,1.746
12,xjb03_01_p_dr1_lm_20180116.csv,xjb03,27,-0.512913919,64.58380688,-0.253552503,16.98855291,-0.007941835,-0.014924903,32.29190344,8.494276455,1.717
13,xjb04_01_p_dr1_lm_20180116.csv,xjb04,26,-0.979246154,82.08561538,-0.27924,25.33453846,-0.011929571,-0.011022107,41.04280769,12.66726923,2.087
14,xjb05_01_p_dr1_lm_20180116.csv,xjb05,23,-0.755299407,66.05216304,-0.295821146,18.77468478,-0.011434893,-0.015756384,33.02608152,9.387342391,2.045
15,xjb06_01_p_dr1_lm_20180116.csv,xjb06,25,-0.640738462,49.52678154,-0.210095385,12.69146462,-0.012937212,-0.016554069,24.76339077,6.345732308,1.666
16,xjb06_02_p_dr1_lm_20180116.csv,xjb06,25,-0.799149231,74.62735077,-0.180213846,19.91332615,-0.01070853,-0.009049912,37.31367538,9.956663077,2.61
17,xjb06_03_p_dr1_lm_20180116.csv,xjb06,25,-0.963293846,77.10040615,-0.228044615,20.63621538,-0.012494018,-0.0110507,38.55020308,10.31810769,2.698
18,xjb09_01_p_dr1_lm_20180116.csv,xjb09,23,-0.8125,59.29728261,-0.126873518,14.30734783,-0.013702146,-0.008867717,29.6486413,7.153673913,1.508
19,xjb09_02_p_dr1_lm_20180116.csv,xjb09,24,-0.847520435,67.42561,-0.169883043,17.21153,-0.012569711,-0.009870305,33.712805,8.605765,1.779
20,xjb09_03_p_dr1_lm_20180116.csv,xjb09,23,-0.690492095,60.80832609,-0.096829051,14.8318587,-0.011355223,-0.00652845,30.40416304,7.415929348,1.724
21,xjb10_01_p_dr1_lm_20180116.csv,xjb10,22,-1.047603614,73.58801976,-0.260894975,16.78571542,-0.014236062,-0.015542678,36.79400988,8.392857708,2.166
22,xjb10_02_p_dr1_lm_20180116.csv,xjb10,19,-1.414966667,82.53822632,-0.401278947,21.05182632,-0.017143168,-0.019061479,41.26911316,10.52591316,2.146
23,xjb12_01_p_dr1_lm_20180116.csv,xjb12,24,-0.700038261,59.15660667,-0.260596087,17.58639667,-0.011833645,-0.014818049,29.57830333,8.793198333,1.678
24,xjb12_02_p_dr1_lm_20180116.csv,xjb12,23,-0.666647233,57.63198913,-0.265320158,16.54395652,-0.011567313,-0.016037286,28.81599457,8.271978261,1.482
25,xjb12_03_p_dr1_lm_20180116.csv,xjb12,25,-1.106666154,76.71763385,-0.151590769,17.92604923,-0.014425186,-0.008456452,38.35881692,8.963024615,2.437
26,xjb12_04_p_dr1_lm_20180116.csv,xjb12,26,-1.10900547,83.10491453,-0.278140513,22.05602564,-0.013344644,-0.012610636,41.55245726,11.02801282,2.576
27,xjb12_05_p_dr1_lm_20180116.csv,xjb12,24,-1.066641739,82.87088,-0.344042609,24.35982333,-0.012871128,-0.014123362,41.43544,12.17991167,2.682
28,xjb13_01_p_dr1_lm_20180116.csv,xjb13,20,-0.641026316,54.9378,-0.198709023,14.44458571,-0.01166822,-0.013756644,27.4689,7.222292857,2.222
29,xjb13_02_p_dr1_lm_20180116.csv,xjb13,21,-0.777801299,64.15934632,-0.193868831,17.39483117,-0.012122962,-0.011145198,32.07967316,8.697415584,1.891
30,xjb14_01_p_dr1_lm_20180116.csv,xjb14,27,-0.797416972,74.76219841,-0.463412698,22.74999471,-0.010666045,-0.020369794,37.38109921,11.37499735,2.029
31,xjb15_01_p_dr1_lm_20180116.csv,xjb15,22,-0.658996047,53.84809486,-0.27657764,15.55129249,-0.012238057,-0.017784865,26.92404743,7.775646245,1.68
32,xjb16_01_p_dr1_lm_20180114.csv,xjb16,29,-0.771268966,72.84966207,-0.136949754,19.51846897,-0.010587132,-0.007016419,36.42483103,9.759234483,2.066
33,xjb17_01_p_dr1_lm_20180116.csv,xjb17,37,-0.54932551,75.9538862,-0.350471076,25.90853343,-0.007232356,-0.013527245,37.9769431,12.95426671,2.851
